Date,id,Type,Source,Amount,Fee,Net,Currency,Created (UTC),Available On (UTC),reason (metadata),amount (metadata),fromOurPlatform (metadata),note (metadata),invoiceId (metadata),storeId (metadata),domain (metadata),discount (metadata),freeShip (metadata),link (metadata),item (metadata),shippingFee (metadata),subTotal (metadata),tax (metadata),storeName (metadata),JournalType,StoreName,PartnerCode,ComCode,BankAccoutNumber
2025-11-19,txn_3SVBh2K3ZXYJSkRp1IOqhT0v,charge,ch_3SVBh2K3ZXYJSkRp146cE7Ih,64.98,2.7,62.28,usd,2025-11-19 13:45:00,2025-11-26 00:00:00,,64.98,,,ZAAIC-191125-E38C3,,,,,-https://obormi.com/cropped-jeans,"[{""name"":""Tummy Control Cropped Wide-Leg Jeans  2025 Best Selling Jeans - Shaded Blue/M"",""quantity"":1,""unitAmount"":59.99}]",4.99,59.99,0,FFT BSO,STRIPE_RECEIPT_CUSTOMER,BSO,,ZENIROXPAY,
2025-11-19,txn_3SVBuKK3ZXYJSkRp0vvXkPk2,charge,ch_3SVBuKK3ZXYJSkRp0iH5Ebfz,109.98,4.37,105.61,usd,2025-11-19 13:58:00,2025-11-26 00:00:00,,109.98,,,ZAAIC-191125-75A3R,,,,,-https://obormi.com/cropped-jeans,"[{""name"":""Tummy Control Cropped Wide-Leg Jeans  2025 Best Selling Jeans - Combo 2 (Shaded Blue+Black) - Save More 10% OFF/S"",""quantity"":1,""unitAmount"":104.99}]",4.99,104.99,0,FFT BSO,STRIPE_RECEIPT_CUSTOMER,BSO,,ZENIROXPAY,
2025-11-19,txn_3SVBvSK3ZXYJSkRp1JpboRH2,charge,ch_3SVBvSK3ZXYJSkRp1UJtnYJl,64.98,2.7,62.28,usd,2025-11-19 14:00:00,2025-11-26 00:00:00,,64.98,,,ZAAIC-191125-JM39S,,,,,-https://obormi.com/cropped-jeans,"[{""name"":""Tummy Control Cropped Wide-Leg Jeans  2025 Best Selling Jeans - Shaded Blue/M"",""quantity"":1,""unitAmount"":59.99}]",4.99,59.99,0,FFT BSO,STRIPE_RECEIPT_CUSTOMER,BSO,,ZENIROXPAY,
2025-11-19,txn_3SVBvyK3ZXYJSkRp1LE9ljij,charge,ch_3SVBvyK3ZXYJSkRp1g1lEOAI,64.98,2.7,62.28,usd,2025-11-19 14:00:00,2025-11-26 00:00:00,,64.98,,,ZAAIC-191125-NJ399,,,,,-https://obormi.com/cropped-jeans,"[{""name"":""Tummy Control Cropped Wide-Leg Jeans  2025 Best Selling Jeans - Shaded Blue/S"",""quantity"":1,""unitAmount"":59.99}]",4.99,59.99,0,FFT BSO,STRIPE_RECEIPT_CUSTOMER,BSO,,ZENIROXPAY,
2025-11-19,txn_3SVC1sK3ZXYJSkRp13NQ9lRZ,charge,ch_3SVC1sK3ZXYJSkRp1UCdmU2o,64.98,2.7,62.28,usd,2025-11-19 14:06:00,2025-11-26 00:00:00,,64.98,,,ZAAIC-191125-HNNZJ,,,,,-https://obormi.com/cropped-jeans,"[{""name"":""Tummy Control Cropped Wide-Leg Jeans  2025 Best Selling Jeans - Black/XL"",""quantity"":1,""unitAmount"":59.99}]",4.99,59.99,0,FFT BSO,STRIPE_RECEIPT_CUSTOMER,BSO,,ZENIROXPAY,
2025-11-19,txn_3SVC1wK3ZXYJSkRp0rRac6sT,charge,ch_3SVC1wK3ZXYJSkRp0ojPxql2,39.98,1.78,38.2,usd,2025-11-19 14:06:00,2025-11-26 00:00:00,,39.98,,,O9UBC-191125-E8K35,,,,,-https://agmonz.com/breasts,"[{""name"":""HOT SALE 49% Breathable Anti-Sagging Breasts Bra - Beige/S"",""quantity"":1,""unitAmount"":34.99}]",4.99,34.99,0,FFT KVC,STRIPE_RECEIPT_CUSTOMER,KVC,,ZENIROXPAY,
2025-11-19,txn_3SVCC2K3ZXYJSkRp05cEAhpU,charge,ch_3SVCC2K3ZXYJSkRp0tG0QCRy,109.98,4.37,105.61,usd,2025-11-19 14:17:00,2025-11-26 00:00:00,,109.98,,,ZAAIC-191125-9D6Z4,,,,,-https://obormi.com/cropped-jeans,"[{""name"":""Tummy Control Cropped Wide-Leg Jeans  2025 Best Selling Jeans - Combo 2 (Shaded Blue+Black) - Save More 10% OFF/S"",""quantity"":1,""unitAmount"":104.99}]",4.99,104.99,0,FFT BSO,STRIPE_RECEIPT_CUSTOMER,BSO,,ZENIROXPAY,
2025-11-19,txn_3SVCEIK3ZXYJSkRp1Ux6z8KW,charge,ch_3SVCEIK3ZXYJSkRp1ERouRPF,64.98,2.7,62.28,usd,2025-11-19 14:19:00,2025-11-26 00:00:00,,64.98,,,ZAAIC-191125-VTC9T,,,,,-https://obormi.com/cropped-jeans,"[{""name"":""Tummy Control Cropped Wide-Leg Jeans  2025 Best Selling Jeans - Shaded Blue/L"",""quantity"":1,""unitAmount"":59.99}]",4.99,59.99,0,FFT BSO,STRIPE_RECEIPT_CUSTOMER,BSO,,ZENIROXPAY,
2025-11-19,txn_3SVCHZK3ZXYJSkRp1fL7Khb2,charge,ch_3SVCHZK3ZXYJSkRp1DM25weg,115.84,4.59,111.25,usd,2025-11-19 14:22:00,2025-11-26 00:00:00,,115.84,,,G2A22-191125-LIAXD,,,,,-https://shopfuny.com/vacuum,"[{""name"":""Last Day Promotion 50% OFF - Wireless Handheld Car Vacuum Cleaner - BLACK Wireless/1PCS 50% OFF"",""quantity"":3,""unitAmount"":36.95}]",4.99,110.85,0,FFT DWF,STRIPE_RECEIPT_CUSTOMER,DWF,,ZENIROXPAY,
2025-11-19,txn_3SVCKeK3ZXYJSkRp1UHzoqsp,charge,ch_3SVCKeK3ZXYJSkRp1e4FxW4y,59.98,2.52,57.46,usd,2025-11-19 14:26:00,2025-11-26 00:00:00,,59.98,,,O9UBC-191125-7FU17,,,,,-https://agmonz.com/breasts,"[{""name"":""HOT SALE 49% Breathable Anti-Sagging Breasts Bra - Set 2(Black+White)50% OFF/2XL"",""quantity"":1,""unitAmount"":54.99}]",4.99,54.99,0,FFT KVC,STRIPE_RECEIPT_CUSTOMER,KVC,,ZENIROXPAY,
2025-11-19,txn_3SVCQ5K3ZXYJSkRp17e5Z7c6,charge,ch_3SVCQ5K3ZXYJSkRp1Nwozngb,54.87,2.33,52.54,usd,2025-11-19 14:31:00,2025-11-26 00:00:00,,54.87,,,MTUBV-191125-9428S,,,,,-https://mochiinii.com/tank-top,"[{""name"":""Hot Selling Thickened Warm Tank Top with Shelf Bra - Set 3 (Black+Beige+Khaki) Save 50%/M"",""quantity"":1,""unitAmount"":49.88}]",4.99,49.88,0,FFT ARG,STRIPE_RECEIPT_CUSTOMER,ARG,,ZENIROXPAY,
2025-11-19,txn_3SVCRvK3ZXYJSkRp1oKfvavL,charge,ch_3SVCRvK3ZXYJSkRp1UYQq6kk,54.87,2.33,52.54,usd,2025-11-19 14:33:00,2025-11-26 00:00:00,,54.87,,,MTUBV-191125-XCWDM,,,,,-https://mochiinii.com/tank-top,"[{""name"":""Hot Selling Thickened Warm Tank Top with Shelf Bra - Set 3 (Black+Coffee+Beige) Save 50%/L"",""quantity"":1,""unitAmount"":49.88}]",4.99,49.88,0,FFT ARG,STRIPE_RECEIPT_CUSTOMER,ARG,,ZENIROXPAY,
2025-11-19,txn_3SVCWcK3ZXYJSkRp1Xe2iDVt,charge,ch_3SVCWcK3ZXYJSkRp19e6oriL,54.87,2.33,52.54,usd,2025-11-19 14:38:00,2025-11-26 00:00:00,,54.87,,,MTUBV-191125-YDDPF,,,,,-https://mochiinii.com/tank-top,"[{""name"":""Hot Selling Thickened Warm Tank Top with Shelf Bra - Set 3 (Black+Beige+Khaki) Save 50%/XL"",""quantity"":1,""unitAmount"":49.88}]",4.99,49.88,0,FFT ARG,STRIPE_RECEIPT_CUSTOMER,ARG,,ZENIROXPAY,
2025-11-19,txn_3SVCY9K3ZXYJSkRp08buMM30,charge,ch_3SVCY9K3ZXYJSkRp0RPjKyj2,64.98,2.7,62.28,usd,2025-11-19 14:40:00,2025-11-26 00:00:00,,64.98,,,ZAAIC-191125-82X2E,,,,,-https://obormi.com/cropped-jeans,"[{""name"":""Tummy Control Cropped Wide-Leg Jeans  2025 Best Selling Jeans - Shaded Blue/L"",""quantity"":1,""unitAmount"":59.99}]",4.99,59.99,0,FFT BSO,STRIPE_RECEIPT_CUSTOMER,BSO,,ZENIROXPAY,
2025-11-19,txn_3SVCZZK3ZXYJSkRp1uNd7p7k,charge,ch_3SVCZZK3ZXYJSkRp1wgsEioy,59.98,2.52,57.46,usd,2025-11-19 14:41:00,2025-11-26 00:00:00,,59.98,,,O9UBC-191125-V1B4N,,,,,-https://agmonz.com/breasts,"[{""name"":""HOT SALE 49% Breathable Anti-Sagging Breasts Bra - Set 2(White+Beige)50% OFF/M"",""quantity"":1,""unitAmount"":54.99}]",4.99,54.99,0,FFT KVC,STRIPE_RECEIPT_CUSTOMER,KVC,,ZENIROXPAY,
2025-11-19,txn_3SVCbNK3ZXYJSkRp0OMerf1N,charge,ch_3SVCbNK3ZXYJSkRp0mxOg0d4,39.98,1.78,38.2,usd,2025-11-19 14:43:00,2025-11-26 00:00:00,,39.98,,,MTUBV-191125-LOSK9,,,,,-https://mochiinii.com/tank-top,"[{""name"":""Hot Selling Thickened Warm Tank Top with Shelf Bra - Coffee/XL"",""quantity"":1,""unitAmount"":34.99}]",4.99,34.99,0,FFT ARG,STRIPE_RECEIPT_CUSTOMER,ARG,,ZENIROXPAY,
2025-11-19,txn_3SVCkYK3ZXYJSkRp0bwyZ9e6,charge,ch_3SVCkYK3ZXYJSkRp0hqkmEoH,59.98,2.52,57.46,usd,2025-11-19 14:52:00,2025-11-26 00:00:00,,59.98,,,O9UBC-191125-DP862,,,,,-https://agmonz.com/breasts,"[{""name"":""HOT SALE 49% Breathable Anti-Sagging Breasts Bra - Set 2(Black+Beige)50% OFF/L"",""quantity"":1,""unitAmount"":54.99}]",4.99,54.99,0,FFT KVC,STRIPE_RECEIPT_CUSTOMER,KVC,,ZENIROXPAY,
2025-11-19,txn_3SVClaK3ZXYJSkRp1UTdvxpT,charge,ch_3SVClaK3ZXYJSkRp1J45B4hX,54.87,2.33,52.54,usd,2025-11-19 14:53:00,2025-11-26 00:00:00,,54.87,,,MTUBV-191125-RBPIU,,,,,-https://mochiinii.com/tank-top,"[{""name"":""Hot Selling Thickened Warm Tank Top with Shelf Bra - Set 3 (Black+Coffee+Khaki) Save 50%/L"",""quantity"":1,""unitAmount"":49.88}]",4.99,49.88,0,FFT ARG,STRIPE_RECEIPT_CUSTOMER,ARG,,ZENIROXPAY,
2025-11-19,txn_3SVCm2K3ZXYJSkRp0TV9Poj8,charge,ch_3SVCm2K3ZXYJSkRp0wtXgdaZ,64.98,2.7,62.28,usd,2025-11-19 14:54:00,2025-11-26 00:00:00,,64.98,,,ZAAIC-191125-F7I2M,,,,,-https://obormi.com/cropped-jeans,"[{""name"":""Tummy Control Cropped Wide-Leg Jeans  2025 Best Selling Jeans - Shaded Blue/S"",""quantity"":1,""unitAmount"":59.99}]",4.99,59.99,0,FFT BSO,STRIPE_RECEIPT_CUSTOMER,BSO,,ZENIROXPAY,
2025-11-19,txn_3SVCpqK3ZXYJSkRp1G1i9sgS,charge,ch_3SVCpqK3ZXYJSkRp15V6GDeF,59.98,2.52,57.46,usd,2025-11-19 14:58:00,2025-11-26 00:00:00,,59.98,,,O9UBC-191125-4YWQH,,,,,-https://agmonz.com/breasts,"[{""name"":""HOT SALE 49% Breathable Anti-Sagging Breasts Bra - Set 2(White+Beige)50% OFF/M"",""quantity"":1,""unitAmount"":54.99}]",4.99,54.99,0,FFT KVC,STRIPE_RECEIPT_CUSTOMER,KVC,,ZENIROXPAY,
2025-11-19,txn_3SVCv8K3ZXYJSkRp0eislV9h,charge,ch_3SVCv8K3ZXYJSkRp0DS7dSb1,109.98,4.37,105.61,usd,2025-11-19 15:03:00,2025-11-26 00:00:00,,109.98,,,ZAAIC-191125-5MJKT,,,,,-https://obormi.com/cropped-jeans,"[{""name"":""Tummy Control Cropped Wide-Leg Jeans  2025 Best Selling Jeans - Combo 2 (Shaded Blue+Black) - Save More 10% OFF/M"",""quantity"":1,""unitAmount"":104.99}]",4.99,104.99,0,FFT BSO,STRIPE_RECEIPT_CUSTOMER,BSO,,ZENIROXPAY,
2025-11-19,txn_3SVCwWK3ZXYJSkRp04NpLQvE,charge,ch_3SVCwWK3ZXYJSkRp0cVCcpII,54.87,2.33,52.54,usd,2025-11-19 15:05:00,2025-11-26 00:00:00,,54.87,,,MTUBV-191125-GSXEL,,,,,-https://mochiinii.com/tank-top,"[{""name"":""Hot Selling Thickened Warm Tank Top with Shelf Bra - Set 3 (Black+Beige+Khaki) Save 50%/M"",""quantity"":1,""unitAmount"":49.88}]",4.99,49.88,0,FFT ARG,STRIPE_RECEIPT_CUSTOMER,ARG,,ZENIROXPAY,
2025-11-19,txn_3SVD3WK3ZXYJSkRp0tP9B8QG,charge,ch_3SVD3WK3ZXYJSkRp0pY9onLo,54.87,2.33,52.54,usd,2025-11-19 15:12:00,2025-11-26 00:00:00,,54.87,,,MTUBV-191125-14N68,,,,,-https://www.mochiinii.com/tank-top,"[{""name"":""Hot Selling Thickened Warm Tank Top with Shelf Bra - Set 3 (Black+Coffee+Beige) Save 50%/M"",""quantity"":1,""unitAmount"":49.88}]",4.99,49.88,0,FFT ARG,STRIPE_RECEIPT_CUSTOMER,ARG,,ZENIROXPAY,
2025-11-19,txn_3SVDw8K3ZXYJSkRp11D89Rv2,charge,ch_3SVDw8K3ZXYJSkRp1kekAev3,43.97,1.93,42.04,usd,2025-11-19 16:08:00,2025-11-26 00:00:00,,43.97,,,MTLYD-191125-353MF,,,,,-https://avylays.com/sandals,"[{""name"":""Summer Sizzler Sale 50%Breathable mesh sports sandals with non-slip sole - Brown/6.5"",""quantity"":1,""unitAmount"":38.98}]",4.99,38.98,0,FFT OSB,STRIPE_RECEIPT_CUSTOMER,OSB,,ZENIROXPAY,
2025-11-19,txn_3SVFROK3ZXYJSkRp10Rs4dDw,charge,ch_3SVFROK3ZXYJSkRp1tIssXnQ,46.94,2.04,44.9,usd,2025-11-19 17:45:00,2025-11-26 00:00:00,,46.94,,,G2A22-191125-8DZ8W,,,,,-https://shopfuny.com/vacuum,"[{""name"":""Last Day Promotion 50% OFF - Wireless Handheld Car Vacuum Cleaner - GREY (Enhanced EditionVacuum + Blow Available/1PCS 50% OFF"",""quantity"":1,""unitAmount"":41.95}]",4.99,41.95,0,FFT DWF,STRIPE_RECEIPT_CUSTOMER,DWF,,ZENIROXPAY,
2025-11-19,txn_3SVGR3K3ZXYJSkRp1aNCuTZy,charge,ch_3SVGR3K3ZXYJSkRp10UyTv1p,43.97,1.93,42.04,usd,2025-11-19 18:48:00,2025-11-26 00:00:00,,43.97,,,MTLYD-191125-6H7Y1,,,,,-https://avylays.com/sandals,"[{""name"":""Summer Sizzler Sale 50%Breathable mesh sports sandals with non-slip sole - Royal Blue/8.5"",""quantity"":1,""unitAmount"":38.98}]",4.99,38.98,0,FFT OSB,STRIPE_RECEIPT_CUSTOMER,OSB,,ZENIROXPAY,
2025-11-19,txn_3SVJ2SK3ZXYJSkRp1CTJAuEh,charge,ch_3SVJ2SK3ZXYJSkRp1q9kkR3s,41.94,1.85,40.09,usd,2025-11-19 21:35:00,2025-11-26 00:00:00,,41.94,,,G2A22-191125-W6AJK,,,,,-https://shopfuny.com/vacuum,"[{""name"":""Last Day Promotion 50% OFF - Wireless Handheld Car Vacuum Cleaner - BLACK Wireless/1PCS 50% OFF"",""quantity"":1,""unitAmount"":36.95}]",4.99,36.95,0,FFT DWF,STRIPE_RECEIPT_CUSTOMER,DWF,,ZENIROXPAY,
2025-11-19,txn_3SVJD4K3ZXYJSkRp097BLJCc,charge,ch_3SVJD4K3ZXYJSkRp03Nn69oJ,41.94,1.85,40.09,usd,2025-11-19 21:46:00,2025-11-26 00:00:00,,41.94,,,G2A22-191125-CW6QP,,,,,-https://shopfuny.com/vacuum,"[{""name"":""Last Day Promotion 50% OFF - Wireless Handheld Car Vacuum Cleaner - WHITE Wireless/1PCS 50% OFF"",""quantity"":1,""unitAmount"":36.95}]",4.99,36.95,0,FFT DWF,STRIPE_RECEIPT_CUSTOMER,DWF,,ZENIROXPAY,
2025-11-20,txn_3SVMICK3ZXYJSkRp1pJeERlW,charge,ch_3SVMICK3ZXYJSkRp1nj48opw,43.97,1.93,42.04,usd,2025-11-20 01:04:00,2025-11-26 00:00:00,,43.97,,,MTLYD-191125-TUZJU,,,,,-https://avylays.com/sandals,"[{""name"":""Summer Sizzler Sale 50%Breathable mesh sports sandals with non-slip sole - Brown/9"",""quantity"":1,""unitAmount"":38.98}]",4.99,38.98,0,FFT OSB,STRIPE_RECEIPT_CUSTOMER,OSB,,ZENIROXPAY,
2025-11-20,txn_3SVWeyK3ZXYJSkRp15z9fVMV,charge,ch_3SVWeyK3ZXYJSkRp1bClrCVi,41.94,1.85,40.09,usd,2025-11-20 12:08:00,2025-11-26 00:00:00,,41.94,,,G2A22-201125-FQPVT,,,,,-https://shopfuny.com/vacuum,"[{""name"":""Last Day Promotion 50% OFF - Wireless Handheld Car Vacuum Cleaner - WHITE Wireless/1PCS 50% OFF"",""quantity"":1,""unitAmount"":36.95}]",4.99,36.95,0,FFT DWF,STRIPE_RECEIPT_CUSTOMER,DWF,,ZENIROXPAY,
