PostBatchID,DataSource,Classify,JournalTypeCode,ComCodeList,PeriodFrom,PeriodTo,StartedAt,EndedAt,Status,InsertedRows,ErrorMessage,AddDate,ModifiedDate
61,NULL,Single,NULL,ONTARIO,202501,202603,00:59.2,01:02.1,SUCCESS,54038,NULL,00:59.2,01:02.1
62,NULL,Bulk,NULL,ONTARIO,202501,202603,02:23.4,03:38.7,SUCCESS,31082,NULL,02:23.4,03:38.7
64,PIPO,Single,NULL,ONTARIO,202501,202603,28:44.2,28:44.5,SUCCESS,6644,NULL,28:44.2,28:44.5
65,ACCOUNTINGSOURCE,Single,NULL,ONTARIO,202501,202603,39:39.7,39:39.7,SUCCESS,354,NULL,39:39.7,39:39.7
66,ACCOUNTINGSOURCE,Bulk,NULL,ONTARIO,202501,202603,39:42.5,39:42.6,SUCCESS,3012,NULL,39:42.5,39:42.6
76,NULL,Single,NULL,ZENIROXPAY,202501,202603,51:48.8,51:49.7,SUCCESS,8710,NULL,51:48.8,51:49.7
77,NULL,Bulk,NULL,ZENIROXPAY,202501,202603,52:04.2,52:17.9,SUCCESS,7986,NULL,52:04.2,52:17.9
78,ACCOUNTINGSOURCE,Single,NULL,ZENIROXPAY,202501,202603,15:33.8,15:33.9,SUCCESS,104,NULL,15:33.8,15:33.9
79,ACCOUNTINGSOURCE,Bulk,NULL,ZENIROXPAY,202501,202603,15:34.0,15:34.0,SUCCESS,52,NULL,15:34.0,15:34.0
80,PAYPAL,Single,NULL,ZENIROXPAY,202501,202603,37:46.6,37:47.2,SUCCESS,6820,NULL,37:46.6,37:47.2
