CoAID,AccountCode,AccountName,AccountType,BalanceSide,Status,AddDate,ModifiedDate,ARAP,ARAPType
1,11101001,Tiền mặt VN - VND,A,Dr,Active,48:55.8,48:55.8,NULL,NULL
2,11102001,Tiền mặt CA - CAD,A,Dr,Active,48:55.8,48:55.8,NULL,NULL
3,11201001,Bank VN - Theo ngân hàng + số tài khoản,A,Dr,Active,48:55.8,48:55.8,NULL,NULL
4,11201002,Bank VN - Theo ngân hàng + số tài khoản,A,Dr,Active,48:55.8,48:55.8,NULL,NULL
5,11201003,Bank VN - Theo ngân hàng + số tài khoản,A,Dr,Active,48:55.8,48:55.8,NULL,NULL
6,11202001,Bank CA - Theo ngân hàng + số tài khoản,A,Dr,Active,48:55.8,48:55.8,NULL,NULL
7,11202002,Bank CA - Theo ngân hàng + số tài khoản,A,Dr,Active,48:55.8,48:55.8,NULL,NULL
8,11202003,Bank CA - Theo ngân hàng + số tài khoản,A,Dr,Active,48:55.8,48:55.8,NULL,NULL
9,11202051,PayPal - Available (USD),A,Dr,Active,48:55.8,48:55.8,NULL,NULL
10,11202052,PayPal - Held/Reserve/Review (USD),A,Dr,Active,48:55.8,48:55.8,NULL,NULL
11,11202053,PayPal - Available (CAD),A,Dr,Active,48:55.8,48:55.8,NULL,NULL
12,11202054,PayPal - Held/Reserve (CAD),A,Dr,Active,48:55.8,48:55.8,NULL,NULL
13,11202061,PingPong - Available (USD),A,Dr,Active,48:55.8,48:55.8,NULL,NULL
14,11202062,PingPong - Pending/Reserve (USD),A,Dr,Active,48:55.8,48:55.8,NULL,NULL
15,11202071,Payoneer - Available (USD),A,Dr,Active,48:55.8,48:55.8,NULL,NULL
16,11202081,Stripe - Available (USD),A,Dr,Active,48:55.8,48:55.8,NULL,NULL
17,11202082,Stripe - Pending/Reserve (USD),A,Dr,Active,48:55.8,48:55.8,NULL,NULL
18,11301001,Rút PayPal về Bank VN - đang chuyển,A,Dr,Active,48:55.8,48:55.8,NULL,NULL
19,11302001,Rút PayPal về Bank CA - đang chuyển,A,Dr,Active,48:55.8,48:55.8,NULL,NULL
20,11303001,Rút PayPal về PingPong - đang chuyển,A,Dr,Active,48:55.8,48:55.8,NULL,NULL
21,11304001,Rút PingPong về Bank VN - đang chuyển,A,Dr,Active,48:55.8,48:55.8,NULL,NULL
22,12101001,Chứng khoán kinh doanh - Cổ phiếu/ETF/Trái phiếu trading,A,Dr,Active,48:55.8,48:55.8,NULL,NULL
23,12101002,Chứng khoán kinh doanh khác,A,Dr,Active,48:55.8,48:55.8,NULL,NULL
24,12810101,Tiền gửi có kỳ hạn ≤ 3 tháng,A,Dr,Active,48:55.8,48:55.8,NULL,NULL
25,12810102,Tiền gửi có kỳ hạn > 3 tháng đến 12 tháng,A,Dr,Active,48:55.8,48:55.8,NULL,NULL
26,12810103,Tiền gửi có kỳ hạn > 12 tháng,A,Dr,Active,48:55.8,48:55.8,NULL,NULL
27,12820101,Trái phiếu nắm giữ đến ngày đáo hạn,A,Dr,Active,48:55.8,48:55.8,NULL,NULL
28,12830101,Cho vay ngắn hạn,A,Dr,Active,48:55.8,48:55.8,NULL,NULL
29,12830102,Cho vay dài hạn,A,Dr,Active,48:55.8,48:55.8,NULL,NULL
30,12880101,Đầu tư khác nắm giữ đến ngày đáo hạn,A,Dr,Active,48:55.8,48:55.8,NULL,NULL
31,13111001,Phải thu khách hàng (VN),A,Dr,Active,48:55.8,48:55.8,AR,Receivables from Customers
32,13111002,Phải thu khách hàng VN - Giải pháp phần mềm / license,A,Dr,Active,48:55.8,48:55.8,AR,Receivables from Customers
33,13111003,Phải thu khách hàng VN - SaaS / bảo trì / support,A,Dr,Active,48:55.8,48:55.8,AR,Receivables from Customers
34,13112001,Phải thu khách hàng (Global/CA),A,Dr,Active,48:55.8,48:55.8,AR,Receivables from Customers
35,13112002,Phải thu khách hàng Global/CA - Giải pháp phần mềm / license,A,Dr,Active,48:55.8,48:55.8,AR,Receivables from Customers
36,13112003,Phải thu khách hàng Global/CA - SaaS / bảo trì / support,A,Dr,Active,48:55.8,48:55.8,AR,Receivables from Customers
37,13121001,Người mua trả tiền trước - VN,A,Dr,Active,48:55.8,48:55.8,AR,Advances from Customers
38,13122001,Người mua trả tiền trước - Global/CA,A,Dr,Active,48:55.8,48:55.8,AR,Advances from Customers
39,13310001,"Thuế GTGT trả lại nhà c.cấp, giảm giá hàng mua: HĐ SXKD",A,Dr,Active,48:55.8,48:55.8,NULL,NULL
40,13600001,Phải thu nội bộ giữa các entity,A,Dr,Active,48:55.8,48:55.8,AR,Other receivables
41,13801001,Phải thu khác - Tạm ứng/đặt cọc (VN),A,Dr,Active,48:55.8,48:55.8,AR,Other receivables
42,13801002,Phải thu khác - Ký quỹ/đặt cọc dịch vụ,A,Dr,Active,48:55.8,48:55.8,AR,Other receivables
43,13802001,Phải thu khác - Chargeback/Dispute chờ xử lý (PayPal),A,Dr,Active,48:55.8,48:55.8,AR,Other receivables
44,13802002,Phải thu khác - Reimbursement từ PSP / platform,A,Dr,Active,48:55.8,48:55.8,AR,Other receivables
45,13802003,Phải thu khác - Lãi tiền gửi dự thu,A,Dr,Active,48:55.8,48:55.8,AR,Other receivables
46,13802004,Phải thu khác - Lãi cho vay dự thu,A,Dr,Active,48:55.8,48:55.8,AR,Other receivables
47,13802005,Phải thu khác - Cổ tức/lợi nhuận được chia,A,Dr,Active,48:55.8,48:55.8,AR,Other receivables
48,13802006,Phải thu khác - Chargeback/dispute được hoàn,A,Dr,Active,48:55.8,48:55.8,AR,Other receivables
