ExrateID,Period,ExrateDate,ReportCurrency,TransCurrency,RateType,Exrate,SourceNote,IsActive,AddDate,ModifiedDate
1,202501,1/1/2025,USD,CAD,DIV,"1,439",Monthly,1,25:33.0,NULL
2,202502,2/1/2025,USD,CAD,DIV,"1,4301",Monthly,1,22:58.8,NULL
3,202503,3/1/2025,USD,CAD,DIV,"1,4359",Monthly,1,22:58.8,NULL
4,202504,4/1/2025,USD,CAD,DIV,"1,3988",Monthly,1,22:58.8,NULL
5,202505,5/1/2025,USD,CAD,DIV,"1,386",Monthly,1,22:58.8,NULL
6,202506,6/1/2025,USD,CAD,DIV,"1,3674",Monthly,1,22:58.8,NULL
7,202507,7/1/2025,USD,CAD,DIV,"1,3691",Monthly,1,22:58.8,NULL
8,202508,8/1/2025,USD,CAD,DIV,"1,3802",Monthly,1,22:58.8,NULL
9,202509,9/1/2025,USD,CAD,DIV,"1,3833",Monthly,1,22:58.8,NULL
10,202510,10/1/2025,USD,CAD,DIV,"1,3992",Monthly,1,22:58.8,NULL
11,202511,11/1/2025,USD,CAD,DIV,"1,4055",Monthly,1,22:58.8,NULL
12,202512,12/1/2025,USD,CAD,DIV,"1,3802",Monthly,1,22:58.8,NULL
13,202601,1/1/2026,USD,CAD,DIV,"1,3778",Monthly,1,22:58.8,NULL
14,202602,2/1/2026,USD,CAD,DIV,"1,3651",Monthly,1,22:58.8,NULL
15,202603,3/1/2026,USD,CAD,DIV,"1,3717",Monthly,1,22:58.8,NULL
16,202503,3/31/2025,USD,USD,MUL,1,Monthly rate,1,27:01.1,NULL
17,202503,3/31/2025,USD,VND,DIV,26500,Monthly rate,1,27:01.1,NULL
18,202503,3/31/2025,USD,CNY,DIV,"7,25",Monthly rate,1,27:01.1,NULL
19,202501,1/1/2025,CAD,USD,MUL,"1,439",Monthly avg - Bank of Canada FXMUSDCAD,1,NULL,NULL
20,202501,1/1/2025,VND,USD,MUL,"25321,41",Monthly avg mid (buy transfer + sell)/2 - Vietcombank,1,NULL,NULL
21,202502,2/1/2025,CAD,USD,MUL,"1,4301",Monthly avg - Bank of Canada FXMUSDCAD,1,NULL,NULL
22,202502,2/1/2025,VND,USD,MUL,25437,Monthly avg mid (buy transfer + sell)/2 - Vietcombank,1,NULL,NULL
23,202503,3/1/2025,CAD,USD,MUL,"1,4359",Monthly avg - Bank of Canada FXMUSDCAD,1,NULL,NULL
24,202503,3/1/2025,VND,USD,MUL,"25544,76",Monthly avg mid (buy transfer + sell)/2 - Vietcombank,1,NULL,NULL
