PaymentGatewayName,ComCode,IsActive
ZeniroxPay Inc.,ZENIROXPAY,1
ZeniroxPay - Stripe,ZENIROXPAY,1
Ontario OLD4a9ca08a-20de-4e3d-a1aa-532e5f81465266,ONTARIO,1
Ontario5ba7e9c1-09b0-403b-8811-bb2e877c275098,ONTARIO,1
Platform gate production,ONTARIO,1
Prethrone,ONTARIO,1
Ontario,ONTARIO,1
ZeniroxPay,ZENIROXPAY,1
Ontario (API Key)636f516d-8001-4d9e-baeb-f174de54d0bd65,ONTARIO,1
1001007841 Ontario Corporation2de12ef3-377e-4093-8fee-52582d67233b82,ONTARIO,1
Platform gate production4fc1a0ee-5710-460e-b8c9-f2a8134f942028,ONTARIO,1
Ontario FFX1da597b4-64b2-4668-bdf8-17d110d241e649,ONTARIO,1
Ontario (API Key - GA)6bcf5ff7-bb7b-4aa1-970c-aea125f4e80e85,ONTARIO,1
Ontario (API Key - GA 2)b28f4ee1-5b12-4e22-97fc-ccd932cbd04e25,ONTARIO,1
ZeniroxPay - GA Key,ZENIROXPAY,1
ZeniroxPay - GA 2,ZENIROXPAY,1
ZeniroxPay (Vicbea - Stripe),ZENIROXPAY,1
ZeniroxPay - Key,ZENIROXPAY,1
ZeniroxPay - Davis,ZENIROXPAY,1
ZeniroxPay - Mr.Oakly,ZENIROXPAY,1
ZeniroxPay FFA 47,ZENIROXPAY,1
ZeniroxPay - Koro,ZENIROXPAY,1
ZeniroxPay (Vicbea),ZENIROXPAY,1
Zenirox,ZENIROXPAY,1
