JournalLineRuleID,JournalTypeCode,RuleSeq,PairCode,NormalDrAccountSource,NormalCrAccountSource,AmountSource,AmountFactor,ReverseIfNegative,SkipIfDrAccountNull,SkipIfCrAccountNull,SkipIfAmountZero,PartnerMode,FixedPartner,ApplyPartnerToDrLine,ApplyPartnerToCrLine,MemoTemplate,IsActive,AddDate,ModifiedDate,NegativeMode
1,PP_CANCEL_HOLD_DISPUTE_RESOLUTION,10,BANK_CONTRA,BANK_ACCOUNT,CONTRA_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 1: Bank vs Contra from Gross,1,24:51.6,NULL,REVERSE
2,PP_CHARGEBACK,10,BANK_CONTRA,BANK_ACCOUNT,CONTRA_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 1: Bank vs Contra from Gross,1,24:51.6,NULL,REVERSE
3,PP_CHARGEBACK_FEE,10,BANK_CONTRA,BANK_ACCOUNT,CONTRA_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 1: Bank vs Contra from Gross,1,24:51.6,NULL,REVERSE
4,PP_CHARGEBACK_REVERSAL,10,BANK_CONTRA,BANK_ACCOUNT,CONTRA_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 1: Bank vs Contra from Gross,1,24:51.6,NULL,REVERSE
5,PP_DIRECT_CREDIT_CARD_PAYMENT,10,BANK_CONTRA,BANK_ACCOUNT,CONTRA_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 1: Bank vs Contra from Gross,1,24:51.6,NULL,REVERSE
6,PP_DISPUTE_FEE,10,BANK_CONTRA,BANK_ACCOUNT,CONTRA_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 1: Bank vs Contra from Gross,1,24:51.6,NULL,REVERSE
7,PP_EXPRESS_CHECKOUT_PAYMENT,10,BANK_CONTRA,BANK_ACCOUNT,CONTRA_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 1: Bank vs Contra from Gross,1,24:51.6,NULL,REVERSE
8,PP_FEE_REVERSAL,10,BANK_CONTRA,BANK_ACCOUNT,CONTRA_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 1: Bank vs Contra from Gross,1,24:51.6,NULL,REVERSE
9,PP_GENERAL_ACCOUNT_CORRECTION,10,BANK_CONTRA,BANK_ACCOUNT,CONTRA_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 1: Bank vs Contra from Gross,1,24:51.6,NULL,REVERSE
10,PP_GENERAL_BONUS,10,BANK_CONTRA,BANK_ACCOUNT,CONTRA_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 1: Bank vs Contra from Gross,1,24:51.6,NULL,REVERSE
11,PP_GENERAL_HOLD,10,BANK_CONTRA,BANK_ACCOUNT,CONTRA_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 1: Bank vs Contra from Gross,1,24:51.6,NULL,REVERSE
12,PP_GENERAL_HOLD_RELEASE,10,BANK_CONTRA,BANK_ACCOUNT,CONTRA_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 1: Bank vs Contra from Gross,1,24:51.6,NULL,REVERSE
13,PP_GENERAL_PAYMENT,10,BANK_CONTRA,BANK_ACCOUNT,CONTRA_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 1: Bank vs Contra from Gross,1,24:51.6,NULL,REVERSE
14,PP_HOLD_AVAILABLE_BALANCE,10,BANK_CONTRA,BANK_ACCOUNT,CONTRA_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 1: Bank vs Contra from Gross,1,24:51.6,NULL,REVERSE
15,PP_HOLD_DISPUTE_INVESTIGATION,10,BANK_CONTRA,BANK_ACCOUNT,CONTRA_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 1: Bank vs Contra from Gross,1,24:51.6,NULL,REVERSE
16,PP_IPR_REVERSAL,10,BANK_CONTRA,BANK_ACCOUNT,CONTRA_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 1: Bank vs Contra from Gross,1,24:51.6,NULL,REVERSE
17,PP_MASS_PAY_PAYMENT,10,BANK_CONTRA,BANK_ACCOUNT,CONTRA_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 1: Bank vs Contra from Gross,1,24:51.6,NULL,REVERSE
18,PP_MOBILE_PAYMENT,10,BANK_CONTRA,BANK_ACCOUNT,CONTRA_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 1: Bank vs Contra from Gross,1,24:51.6,NULL,REVERSE
19,PP_PARTNER_FEE,10,BANK_CONTRA,BANK_ACCOUNT,CONTRA_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 1: Bank vs Contra from Gross,1,24:51.6,NULL,REVERSE
20,PP_PAYMENT_FEE,10,BANK_CONTRA,BANK_ACCOUNT,CONTRA_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 1: Bank vs Contra from Gross,1,24:51.6,NULL,REVERSE
21,PP_PAYMENT_REFUND,10,BANK_CONTRA,BANK_ACCOUNT,CONTRA_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 1: Bank vs Contra from Gross,1,24:51.6,NULL,REVERSE
22,PP_PAYMENT_REVERSAL,10,BANK_CONTRA,BANK_ACCOUNT,CONTRA_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 1: Bank vs Contra from Gross,1,24:51.6,NULL,REVERSE
23,PP_PAYMENT_REVIEW_HOLD,10,BANK_CONTRA,BANK_ACCOUNT,CONTRA_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 1: Bank vs Contra from Gross,1,24:51.6,NULL,REVERSE
24,PP_PAYMENT_REVIEW_RELEASE,10,BANK_CONTRA,BANK_ACCOUNT,CONTRA_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 1: Bank vs Contra from Gross,1,24:51.6,NULL,REVERSE
25,PP_PROTECTION_BONUS_PAYOUT,10,BANK_CONTRA,BANK_ACCOUNT,CONTRA_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 1: Bank vs Contra from Gross,1,24:51.6,NULL,REVERSE
26,PP_RESERVE_HOLD,10,BANK_CONTRA,BANK_ACCOUNT,CONTRA_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 1: Bank vs Contra from Gross,1,24:51.6,NULL,REVERSE
27,PP_RESERVE_RELEASE,10,BANK_CONTRA,BANK_ACCOUNT,CONTRA_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 1: Bank vs Contra from Gross,1,24:51.6,NULL,REVERSE
28,PP_REVERSAL_GENERAL_ACCOUNT_HOLD,10,BANK_CONTRA,BANK_ACCOUNT,CONTRA_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 1: Bank vs Contra from Gross,1,24:51.6,NULL,REVERSE
29,PP_TAX_HOLD,10,BANK_CONTRA,BANK_ACCOUNT,CONTRA_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 1: Bank vs Contra from Gross,1,24:51.6,NULL,REVERSE
30,PP_TAX_RELEASE,10,BANK_CONTRA,BANK_ACCOUNT,CONTRA_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 1: Bank vs Contra from Gross,1,24:51.6,NULL,REVERSE
32,PP_USER_INITIATED_WITHDRAWAL,10,BANK_CONTRA,BANK_ACCOUNT,CONTRA_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 1: Bank vs Contra from Gross,1,24:51.6,NULL,REVERSE
33,PP_CANCEL_HOLD_DISPUTE_RESOLUTION,20,CONTRA_TRANS,CONTRA_ACCOUNT,TRANS_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 2: Contra vs Trans from Gross,1,24:51.6,NULL,REVERSE
34,PP_CHARGEBACK,20,CONTRA_TRANS,CONTRA_ACCOUNT,TRANS_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 2: Contra vs Trans from Gross,1,24:51.6,NULL,REVERSE
35,PP_CHARGEBACK_FEE,20,CONTRA_TRANS,CONTRA_ACCOUNT,TRANS_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 2: Contra vs Trans from Gross,1,24:51.6,NULL,REVERSE
36,PP_CHARGEBACK_REVERSAL,20,CONTRA_TRANS,CONTRA_ACCOUNT,TRANS_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 2: Contra vs Trans from Gross,1,24:51.6,NULL,REVERSE
37,PP_DIRECT_CREDIT_CARD_PAYMENT,20,CONTRA_TRANS,CONTRA_ACCOUNT,TRANS_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 2: Contra vs Trans from Gross,1,24:51.6,NULL,REVERSE
38,PP_DISPUTE_FEE,20,CONTRA_TRANS,CONTRA_ACCOUNT,TRANS_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 2: Contra vs Trans from Gross,1,24:51.6,NULL,REVERSE
39,PP_EXPRESS_CHECKOUT_PAYMENT,20,CONTRA_TRANS,CONTRA_ACCOUNT,TRANS_ACCOUNT,GROSS,1,1,1,1,1,HEADER,NULL,1,1,Pair 2: Contra vs Trans from Gross,1,24:51.6,NULL,REVERSE
