ComCode,BankAccountNumber,InputCurr,GLAccountCode,BankName,IsActive,AddDate,ModifiedDate
ONTARIO,68321004845,CAD,11202001,Bank CA - Theo ngân hàng + s? tài kho?n,1,39:22.3,39:22.3
ONTARIO,1001007841,USD,11202061,PingPong - Available (USD),1,39:22.3,39:22.3
ONTARIO,Payoneer1,USD,11202071,Payoneer - Available (USD),1,18:02.7,NULL
ONTARIO,PAYPAL1,USD,11202051,PayPal - Available (USD),1,39:22.3,39:22.3
ONTARIO,Stripe1,USD,11202081,Stripe - Available (USD),1,18:02.7,NULL
ZENIROXPAY,76621019512,CAD,11202001,Bank CA -,1,44:37.5,NULL
ZENIROXPAY,Payoneer1,USD,11202071,Payoneer - Available (USD),1,18:02.7,NULL
ZENIROXPAY,PAYPAL1,USD,11202051,PayPal - Available (USD),1,39:22.3,39:22.3
ZENIROXPAY,Stripe1,USD,11202081,Stripe - Available (USD),1,18:02.7,NULL
ZENIROXPAY,ZnrPingPo,USD,11202061,PingPong,1,42:38.4,NULL
